id,t,w_l,w_r
e,96.2947206497192,5.26953361599031,5.26953361599031
e,96.4924936294556,3.87643852210781,3.87643852210781
e,96.5918984413147,4.7244094488189,4.7244094488189
e,96.9987585544586,2.36220472440945,2.36220472440945
e,97.1967747211456,5.02725620835857,5.02725620835857
e,97.2956910133362,4.84554815263477,4.84554815263477
e,97.7905149459839,5.14839491217444,5.14839491217444
e,97.8892796039581,5.14839491217444,5.14839491217444
e,98.2026290893555,2.24106602059358,2.24106602059358
e,98.296754360199,2.24106602059358,2.24106602059358
e,98.395601272583,2.90732889158086,2.90732889158086
e,98.6924984455109,5.14839491217444,5.14839491217444
e,98.890380859375,6.05693519079346,6.05693519079346
e,99.1988353729248,5.02725620835857,5.02725620835857
e,99.594559431076,5.02725620835857,5.02725620835857
e,99.6954307556152,5.02725620835857,5.02725620835857
e,99.99041056633,6.05693519079346,6.05693519079346
e,100.199855327606,6.05693519079346,6.05693519079346
e,100.496876239777,6.05693519079346,6.05693519079346
e,100.595591783524,5.99636583888552,5.99636583888552
e,100.991370201111,5.81465778316172,5.81465778316172
e,105.589252471924,6.05693519079346,6.05693519079346
e,108.097866535187,5.39067231980618,3.21017565112053
e,110.396802186966,6.05693519079346,2.48334342822532
e,115.995765686035,6.05693519079346,6.05693519079346
e,116.193591117859,6.05693519079346,6.05693519079346
e,116.391494512558,6.05693519079346,6.05693519079346
e,120.989738941193,6.05693519079346,6.05693519079346
e,121.495742559433,6.05693519079346,6.05693519079346
e,122.79364156723,6.05693519079346,6.05693519079346
e,123.596855163574,6.05693519079346,6.05693519079346
e,123.992517948151,6.05693519079346,6.05693519079346
e,124.190541267395,6.05693519079346,6.05693519079346
e,124.597688436508,6.05693519079346,6.05693519079346
e,124.993738889694,6.05693519079346,5.57238037552998
e,127.798852443695,6.05693519079346,6.05693519079346
e,127.996828079224,6.05693519079346,6.05693519079346
e,128.393530607224,6.05693519079346,6.05693519079346
e,128.799956083298,6.05693519079346,6.05693519079346
e,129.691374063492,5.51181102362205,6.05693519079346
e,133.200141429901,6.05693519079346,6.05693519079346
e,135.59788775444,5.02725620835857,5.02725620835857
e,136.39041519165,3.02846759539673,3.02846759539673
e,137.094702005386,6.05693519079346,6.05693519079346
e,138.590446472168,6.05693519079346,6.05693519079346
e,138.897913694382,6.05693519079346,6.05693519079346
e,142.197947025299,6.05693519079346,6.05693519079346
e,142.595057725906,6.05693519079346,6.05693519079346
e,143.100058317184,6.05693519079346,6.05693519079346
e,143.396799087524,6.05693519079346,6.05693519079346
e,143.793722629547,6.05693519079346,6.05693519079346
e,144.496900081635,6.05693519079346,6.05693519079346
e,144.992641687393,6.05693519079346,6.05693519079346
e,145.299984693527,6.05693519079346,6.05693519079346
e,145.89471745491,6.05693519079346,6.05693519079346
e,145.992921590805,6.05693519079346,6.05693519079346
e,146.29062461853,6.05693519079346,6.05693519079346
e,146.498946666718,6.05693519079346,6.05693519079346
e,147.799299716949,6.05693519079346,6.05693519079346
e,149.194542169571,6.05693519079346,0.242277407631738
e,149.39239859581,6.05693519079346,0.726832222895215
e,149.491512298584,6.05693519079346,0.605693519079346
e,150.195641517639,6.05693519079346,2.18049666868564
e,151.900112628937,6.05693519079346,3.1496062992126
e,152.494675397873,2.96789824348879,6.05693519079346
e,152.593562602997,4.96668685645064,6.05693519079346
e,155.893475294113,6.05693519079346,6.05693519079346
e,156.696768045425,6.05693519079346,6.05693519079346
e,157.994562387466,5.20896426408237,6.05693519079346
e,158.99574303627,6.05693519079346,6.05693519079346
e,159.094516515732,6.05693519079346,6.05693519079346
e,159.699975013733,6.05693519079346,6.05693519079346
e,160.194581031799,6.05693519079346,6.05693519079346
e,160.689341783524,6.05693519079346,6.05693519079346
e,160.99782705307,6.05693519079346,6.05693519079346
e,161.294677734375,6.05693519079346,6.05693519079346
e,161.80091881752,6.05693519079346,6.05693519079346
e,161.998953104019,6.05693519079346,6.05693519079346
e,162.097838878632,6.05693519079346,6.05693519079346
e,162.29569029808,6.05693519079346,6.05693519079346
e,162.394797086716,6.05693519079346,6.05693519079346
